ラベル起点,エンコーダ,エスカレーション率,実際に回した行,accuracy,宣言値に限った accuracy,回した行の accuracy,回した行の宣言値内 accuracy,費用_usd,確信度下位30%の accuracy,残り70%の accuracy
値の名前だけ（案b）,文字TF-IDF（既定）,0.0,0,0.1425,0.1425,,,0.0,0.125,0.15
値の名前だけ（案b）,文字TF-IDF（既定）,0.05,20,0.17,0.17,0.65,0.65,0.09283500000000001,,
値の名前だけ（案b）,文字TF-IDF（既定）,0.15,60,0.23,0.23,0.7,0.7,0.173485,,
値の名前だけ（案b）,文字TF-IDF（既定）,0.3,120,0.2975,0.2975,0.6416666666666667,0.6416666666666667,0.19566,,
値の名前だけ（案b）,e5-small,0.0,0,0.2325,0.2325,,,0.0,0.14166666666666666,0.2714285714285714
値の名前だけ（案b）,e5-small,0.05,20,0.2525,0.2525,0.7,0.7,0.09318,,
値の名前だけ（案b）,e5-small,0.15,60,0.315,0.315,0.6833333333333333,0.6833333333333333,0.16244,,
値の名前だけ（案b）,e5-small,0.3,120,0.3975,0.3975,0.6916666666666667,0.6916666666666667,0.24080000000000001,,
人手ラベル200件（案a）,文字TF-IDF（既定）,0.0,0,0.5375,0.5375,,,0.0,0.36666666666666664,0.6107142857142858
人手ラベル200件（案a）,文字TF-IDF（既定）,0.05,20,0.5625,0.5625,0.75,0.75,0.10099,,
人手ラベル200件（案a）,文字TF-IDF（既定）,0.15,60,0.62,0.62,0.8166666666666667,0.8166666666666667,0.190075,,
人手ラベル200件（案a）,文字TF-IDF（既定）,0.3,120,0.6375,0.6375,0.7,0.7,0.217335,,
人手ラベル200件（案a）,e5-small,0.0,0,0.53,0.53,,,0.0,0.4583333333333333,0.5607142857142857
人手ラベル200件（案a）,e5-small,0.05,20,0.56,0.56,0.7,0.7,0.09406500000000001,,
人手ラベル200件（案a）,e5-small,0.15,60,0.585,0.585,0.6666666666666666,0.6666666666666666,0.184835,,
人手ラベル200件（案a）,e5-small,0.3,120,0.595,0.595,0.675,0.675,0.197435,,
